Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nome ;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;;;;;;;;;;;;;;
BERNARDINO'S LANCHES MACENO;Lanchonetes/Hamburguerias;(17) 98230-6177 ;bernardinoslanche;18600,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/bernardinos-lanches-centro;Plataforma Própria;https://bernardinoslanchesmaceno.menudino.com/;4,50;4,60;24.966.108/0001-00;AV. NRA. DA PAZ, 2406;JARDIM ALTO ALEGRE;Central;15055-500;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
MELTING BURGUERS;Lanchonetes/Hamburguerias;(17) 3305-6567;meltingburguers;21700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-vila-imperial;Plataforma Própria;https://meltingburgers.com.br/meltingburgers;4,40;4,10;28.568.175/0001-19;AVENIDA PRESIDENTE J.K, 3730;JARDIM MOYSES MIGUEL HADDAD;HB;15093-215;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
CAPITÃO BURGUER VETORASSO;Lanchonetes/Hamburguerias;(17) 99143-1616;*;;*;*;*;*;4,30;;45.524.364/0001-09;AV. FORTUNATO ERNESTO VETORASSO, 599;JARDIM SANTA LUCIA;Cidade da Criança;15040-170;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
WELL BURGUER;Lanchonetes/Hamburguerias;(17) 99121-3938 ;well_burguer;7700,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/well-burguer-jardim-planalto;Menu Dino;https://wellburguer.menudino.com/;4,70;4,80;44.962.325/0001-20 ;AV. ALFREDO ANTÔNIO DE OLIVEIRA, 2685;JARDIM PLANALTO;Central;15046-619;MICRO EMPRESA;01/02/5611;;;;;;;;;;;;;;
TIA SONIA CACHORRO-QUENTE ;Lanchonetes/Hamburguerias;(17) 3235-3492 ;cachorroquentetiasonia;26100,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/cachorro-quente-da-tia-sonia---redentora-centro;Goomer;https://tia-sonia-cachorro-quente-yolanda.goomer.app/menu;4,40;4,80;20.508.752/0001-75 ;AV. SILVIO DELA ROVERI, 615 (GALERIA);JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
SHARK BURGUER;Lanchonetes/Hamburguerias;(17) 3363-9832 ;shark.burguer;45400,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/shark-burguer-jardim-vivendas;Goomer;https://sharkburguer.goomer.app/;4,30;4,40;29.170.558/0001-05;AV. BENEDITO RODRIGUES LISBOA, 2470 ;UNIVERSITÁRIO;HB;15080-310;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
NUGRILL;Lanchonetes/Hamburguerias;(17)99643-4766 ;nugrill.hamburgueria;8100,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/nugrill-hamburgueria-artesanal-eldorado;One Soluções;https://www.onesolucoes.com.br/app/?id=&248&empresa=134;4,80;5,00;40.084.454/0001-02; AV. MONTE APRAZÍVEL, 3319;ELDORADO;Cidade da Criança;15043-450;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ORIGINAL BURGUER ;Lanchonetes/Hamburguerias;(17) 99746-3576 ;originalburger.sjrp;5200,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/original-burger-belvedere-centro;Goomer;https://originalburgerbelvedere.goomer.app/;4,70;4,80;39.897.262/0001-36;AV. DAVI FERREIRA DA ROCHA,650;BELVEDERE, TERRA NOVA;Represa;15056-030;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
O BURGUÊS ;Lanchonetes/Hamburguerias;(17) 3234-1476 ;hamburgueriaoburgues;139000,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/o-burgues---burger-sao-jose-do-rio-preto-centro;*;*;4,00;4,80;34.911.590/0001-26;AV. DR. ALBERTO ANDALÓ, 3433;CENTRO;Central;15015-000;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
ALHO NEGRO  ;Lanchonetes/Hamburguerias;(17) 99755-4395;alhonegrorp;25600,00;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/alho-negro-lanches-gourmet-centro;Goomer;https://alho-negro-lanches-gourmet.goomer.app/;4,70;3,90;34.658.090/0001-24 ;AV. DR. ALBERTO ANDALÓ, 2929;CENTRO;Central;15014-040;MICRO EMPRESA;03/02/5611;;;;;;;;;;;;;;
