Empresas do ramo alimentício de São José do Rio Preto;;;;;;;;;;;;;;;;;;;;;
Nome ;Franquias;Segmento ;Contato;Instagram/Facebook;Número de Seguidores;Ifood;Link Ifood;Outra Plataforma de Delivery;Link da Plataforma ;Avaliação Google;Avaliação Ifood;Quantidade de Avaliações (Google);Quantidade de Avaliações (Ifood);CNPJ;Endereço;Bairro;Região Adm;CEP;Porte;CNAE;
MELTING BURGUERS;;Lanchonetes/Hamburguerias;(17) 3305-6567;meltingburguers;21700;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/melting-burgers-vila-imperial;Plataforma Própria;https://meltingburgers.com.br/meltingburgers;4,4;4,1;1117;39;28.568.175/0001-19;AVENIDA PRESIDENTE J.K, 3730;JARDIM MOYSES MIGUEL HADDAD;HB;15093-215;MICRO EMPRESA;03/02/5611;
CAPITÃO BURGUER VETORASSO;;Lanchonetes/Hamburguerias;(17) 99143-1616;*;;*;*;*;*;4,3;;416;0;45.524.364/0001-09;AV. FORTUNATO ERNESTO VETORASSO, 599;JARDIM SANTA LUCIA;Cidade da Criança;15040-170;MICRO EMPRESA;03/02/5611;
BELA CONQUISTA SALGADOS E CIA;;Lanchonetes/Hamburguerias;17 98155-0027;bella_conquista_salgados;189;*;*;*;*;4,4;;192;0; 26.185.236/0002-14;AV. ALFREDO ANTÔNIO DE OLIVEIRA, 2654;JARDIM PLANALTO;Central;15046-619;EMPRESA DE PEQUENO PORTE;03/02/5611;
TIA SONIA CACHORRO-QUENTE ;;Lanchonetes/Hamburguerias;(17) 3235-3492 ;cachorroquentetiasonia;26100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/cachorro-quente-da-tia-sonia---redentora-centro;Goomer;https://tia-sonia-cachorro-quente-yolanda.goomer.app/menu;4,4;4,8;207;246;20.508.752/0001-75 ;AV. SILVIO DELA ROVERI, 615 (GALERIA);JARDIM YOLANDA;Represa;15061-580;MICRO EMPRESA;03/02/5611;
NUGRILL;;Lanchonetes/Hamburguerias;(17)99643-4766 ;nugrill.hamburgueria;8100;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/nugrill-hamburgueria-artesanal-eldorado;One Soluções;https://www.onesolucoes.com.br/app/?id=&248&empresa=134;4,8;5;93;118;40.084.454/0001-02; AV. MONTE APRAZÍVEL, 3319;ELDORADO;Cidade da Criança;15043-450;MICRO EMPRESA;03/02/5611;
ORIGINAL BURGUER ;;Lanchonetes/Hamburguerias;(17) 99746-3576 ;originalburger.sjrp;5200;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/original-burger-belvedere-centro;Goomer;https://originalburgerbelvedere.goomer.app/;4,7;4,8;62;166;39.897.262/0001-36;AV. DAVI FERREIRA DA ROCHA,650;BELVEDERE, TERRA NOVA;Represa;15056-030;MICRO EMPRESA;03/02/5611;
O BURGUÊS ;;Lanchonetes/Hamburguerias;(17) 3234-1476 ;hamburgueriaoburgues;139000;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/o-burgues---burger-sao-jose-do-rio-preto-centro;*;*;4;4,8;131;467;34.911.590/0001-26;AV. DR. ALBERTO ANDALÓ, 3433;CENTRO;Central;15015-000;MICRO EMPRESA;03/02/5611;
ALHO NEGRO  ;;Lanchonetes/Hamburguerias;(17) 99755-4395;alhonegrorp;25600;Ativo;https://www.ifood.com.br/delivery/sao-jose-do-rio-preto-sp/alho-negro-lanches-gourmet-centro;Goomer;https://alho-negro-lanches-gourmet.goomer.app/;4,7;3,9;803;26;34.658.090/0001-24 ;AV. DR. ALBERTO ANDALÓ, 2929;CENTRO;Central;15014-040;MICRO EMPRESA;03/02/5611;
 BELLA CAPRI PIZZARIA;;Pizzarias/Massas;800-765-9999;bellacapririopreto;13900;*;*;Plataforma Própria;https://www.bellacapri.com.br/;4,6;;379;0;28.064.617/0001-90;AV. MIGUEL DAMHA, 1825 - RES. GAIVOTA I;PARQUE RESIDENCIAL DAMHA IV;Represa;15061-768;MICRO EMPRESA;04/01/5620;
PIZZARIA SAN REMO;;Pizzarias/Massas;(17) 3232-1869 ;sanremoriopreto;5400;*;*;Plataforma Própria;https://xmenu.com.br/pedidos/index.html?loja=15575;4,5;;1300;0;59.986.232/0001-03 ;R. VOLUNTÁRIOS DE SÃO PAULO, 3438;CENTRO;Central;15015-200;EMPRESA DE PEQUENO PORTE;01/02/5611;
